prod_code,dur_A0,dur_A1,dur_A2,dur_A3,dur_A4,dur_E0,dur_E1,dur_E2,dur_E3,dur_E4,dur_A0_count,dur_A1_count,dur_A2_count,dur_A3_count,dur_A4_count,dur_E0_count,dur_E1_count,dur_E2_count,dur_E3_count,dur_E4_count
C_LPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_EN60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_WLPS,0.0,0.0,0.0,0.0,1.98355821352E7,1232745.2153191215,1460483.4280540817,1573738.633479416,3040896.120720296,4.890760681364097E7,0.0,0.0,0.0,0.0,4.3,0.10598730479452054,0.12869755342465755,0.2988459739726027,0.6189340623287672,10.049546129452056
UL_OSP,0.0,0.0,0.0,0.0,0.0,4587085.318502403,4339127.63553898,3221248.2594725927,2734992.4174770503,581100.7402603269,0.0,0.0,0.0,0.0,0.0,0.3536933602739726,0.2997736657534246,0.3277872294520548,0.3434747595890411,0.09997176712328769
C_NSSP,1.5228348604379501E9,5.872021258972E8,9.41663631872E7,0.0,0.0,2.227843548587358E9,1.403358572557038E9,1.7215271467777044E8,0.0,0.0,90.89000000000001,53.610000000000014,12.09,0.0,0.0,310.71673407142475,204.71113328402762,26.295829273698637,0.0,0.0
CNSSE4,0.0,0.0,0.0,0.0,0.0,654900.434589041,60432.634674657544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2678086760273973,0.025004267808219176,0.0,0.0,0.0
U_PNS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_SWIP,500000.0,0.0,0.0,0.0,0.0,1.0675142064281337E7,5999277.29787952,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.471937854109589,1.832053782876712,0.0,0.0,0.0
C_LGPS,0.0,0.0,0.0,0.0,695483.8800000008,0.0,0.0,0.0,129470.07071519633,1.8554284113253918E7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05791048630136987,5.82762338630137
C_CESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
